순번,이름,위치,가격대,영업 시간,휴일,주소
1,이문동커피집 크럼블로스터,중문 앞,"3,000~5,000","점심, 저녁",x,서울 동대문구 이문동 331-56
2,백씨네콩다방,정문 동편,"3,000~5,000",점심,"월, 토, 일",서울 동대문구 회기동 16-91
3,투썸플레이스,정문 서편,"5,000~8,000","점심, 저녁, 심야",,서울 동대문구 회기동 16-72
4,리드스트리트커피,정문 동편,"5,000~8,000","점심, 저녁",x,서울 동대문구 회기동 61-6
5,스타벅스 경희대점,정문 동편,"5,000~8,000","점심, 저녁",x,서울 동대문구 회기동 16-41
6,오트로움,회기역 앞,"5,000~8,000","점심, 저녁",목,서울 동대문구 이문동 341-18
7,쿱카페 간호이과대점,교내,"3,000~5,000","점심, 저녁",x,서울 동대문구 회기동 1-5
8,쿱카페 경영대점,교내,"3,000~5,000","점심, 저녁",x,서울 동대문구 회기동 1-5
9,이디야커피 호텔관광대학점,교내,"5,000~8,000","점심, 저녁",x,서울 동대문구 회기동 1-5
10,온어스 경희대점,교내,"3,000~5,000","점심, 저녁",x,서울 동대문구 회기동 1-5
11,할리스 커피 청운관점,교내,"5,000~8,000",점심,x,서울 동대문구 회기동 1-5
12,할리스 커피 푸른솔문화관점,교내,"5,000~8,000","점심, 저녁",x,서울 동대문구 회기동 1-5
13,펠어커피,정문 서편,"3,000~5,000","점심, 저녁",x,서울 동대문구 회기동 103-55
14,무감커피바,정문 동편,"5,000~8,000","점심, 저녁",x,서울 동대문구 회기동 16-16
15,코너샵카페,후문 앞,"3,000~5,000","점심, 저녁",x,서울 동대문구 이문동 264-303
16,7카롱,정문 동편,"5,000~8,000","점심, 저녁","토, 일",서울 동대문구 회기동 3-37
17,어빌리티커피,후문 앞,"5,000~8,000","점심, 저녁",x,서울 동대문구 이문동 264-302
18,컴플리트커피,후문 앞,"3,000~5,000","점심, 저녁",x,서울 동대문구 이문동 264-293
19,메가커피,정문 동편,"3,000~5,000","점심, 저녁",x,서울 동대문구 회기동 31-1
20,르티안,정문 동편,"5,000~8,000","점심, 저녁",월,서울 동대문구 회기동 60-22
